simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,cenario,grupo,rep_id
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.7593602888733026,2.365371905887291,3.286296391223158,4.77122028985573,3.3824641190667983,4.299931995736805,12.82290797132464,0.0,0.0,0.0,0.5099903124243158,16516,8484,dinamica_servico_exponencial,distribuicoes_servico,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.5643832255728025,2.280808724207169,3.142806016344264,4.5679224272871055,3.2943649965943838,4.14963522475041,11.351729032019648,0.0,0.0,0.0,0.5029180562172463,16789,8211,dinamica_servico_exponencial,distribuicoes_servico,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.3535142081095235,2.03213309567175,2.910217272508901,4.353949486061815,3.0331601019248295,3.9108510634715405,10.789986818359466,0.0,0.0,0.0,0.48564377294889544,16613,8387,dinamica_servico_exponencial,distribuicoes_servico,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.2752894217787083,2.087214966069716,2.8786626454848214,4.280198553728344,3.080357262029784,3.879643536907687,10.899068654133771,0.0,0.0,0.0,0.47046818727490997,16654,8346,dinamica_servico_exponencial,distribuicoes_servico,6
33256.10505052909,0.7517416715521911,1.1581291885918201,1.9098708601440055,0.751741671552191,1.8456062359677001,0.9391285919711451,1.5405946383157394,2.8456062359676877,1.9391285919711454,2.5405946383157247,5.652355422229448,0.0,0.0,0.0,0.3477815288160116,16588,8412,dinamica_servico_deterministico,distribuicoes_servico,0
33410.415791901265,0.7482696460802514,1.098228804618566,1.846498450698827,0.7482696460802514,1.772248447364095,0.8582782531412068,1.4676404610334972,2.772248447364104,1.8582782531412068,2.4676404610335076,5.322330631723162,0.0,0.0,0.0,0.34255204271402,16668,8332,dinamica_servico_deterministico,distribuicoes_servico,1
33511.23913905049,0.7460183700240322,1.0898565937624372,1.835874963786469,0.7460183700240322,1.7633644194916098,0.8594434618856712,1.4607678397234465,2.7633644194916167,1.8594434618856714,2.460767839723453,5.376564793623402,0.0,0.0,0.0,0.3419502224359745,16631,8369,dinamica_servico_deterministico,distribuicoes_servico,2
33320.9059537985,0.7502797203252531,1.1360143561701725,1.8862940764954423,0.7502797203252531,1.8309820170633997,0.8971973074028583,1.5140928379930059,2.830982017063397,1.8971973074028583,2.5140928379930028,5.449010931301018,0.0,0.0,0.0,0.35266694920385055,16516,8484,dinamica_servico_deterministico,distribuicoes_servico,3
33079.90652222575,0.7557457873468592,1.1075529770542936,1.8632987644011552,0.7557457873468592,1.7739612126739108,0.8339640582538249,1.46522854727618,2.7739612126739113,1.8339640582538248,2.4652285472761735,5.287318259923268,0.0,0.0,0.0,0.3453040319218629,16789,8211,dinamica_servico_deterministico,distribuicoes_servico,4
33584.81022103936,0.7443841378129519,1.078409236875386,1.8227933746883442,0.7443841378129519,1.7645704132050144,0.8231025738048022,1.4487267824430332,2.7645704132050075,1.8231025738048023,2.448726782443026,5.243739592995553,0.0,0.0,0.0,0.3465358454222597,16613,8387,dinamica_servico_deterministico,distribuicoes_servico,5
33666.59600840494,0.7425758159143473,1.0956343864748692,1.8382102023892213,0.7425758159143472,1.7790406164280337,0.8692462870975384,1.475314877524338,2.779040616428026,1.8692462870975388,2.47531487752434,5.424268069273239,0.0,0.0,0.0,0.3399975984630163,16654,8346,dinamica_servico_deterministico,distribuicoes_servico,6
33256.11145268914,0.7486164192952384,1.7151129078132334,2.463729327108433,0.7517415268338133,2.6466330386134023,1.5615355648672724,2.281519440647304,3.6424068964747196,2.5575144428026455,3.277362283663129,8.360648775789741,0.0,0.0,0.0,0.44128285507595855,16588,8412,dinamica_servico_erlang2,distribuicoes_servico,0
33409.47683959312,0.7550386230109033,1.736526627420683,2.491565250431573,0.7482906757274582,2.7112799944650896,1.5392260192515663,2.320657845605928,3.7180546568293584,2.5527312180265684,3.3296756611451777,8.625997825488412,0.0,0.0,0.0,0.447324214062875,16668,8332,dinamica_servico_erlang2,distribuicoes_servico,1
33509.86645864241,0.743885992977505,1.648860262473005,2.3927462554505223,0.7460489295251231,2.5627443378576396,1.5092566353390646,2.210120934070617,3.5606924053439424,2.5046734645334863,3.2072217454758607,8.233634876451106,0.0,0.0,0.0,0.43022906270666744,16632,8368,dinamica_servico_erlang2,distribuicoes_servico,2
33321.72282910107,0.7526900634608469,1.7706516106798773,2.523341674140716,0.7502613273695018,2.7453591865355578,1.6096341814125867,2.3599395487970405,3.74624197356955,2.6174547330635964,3.363176735631448,8.652272252224066,0.0,0.0,0.0,0.4521733866085483,16516,8484,dinamica_servico_erlang2,distribuicoes_servico,3
33083.96731213023,0.7603065659011029,1.710452359647151,2.470758925548247,0.7556530256525116,2.6345374752528015,1.502823380069641,2.2628372978308446,3.6413713567043424,2.5076003302317003,3.268995600769637,8.254877465075424,0.0,0.0,0.0,0.44169842782277274,16789,8211,dinamica_servico_erlang2,distribuicoes_servico,4
33585.36136635953,0.7479039079194818,1.659101120340657,2.4070050282601314,0.744371922257803,2.6018711103223384,1.489987784867384,2.228856492298714,3.6037714511196492,2.5003672594259396,3.233601412890243,8.196868236937007,0.0,0.0,0.0,0.43688677541684223,16613,8387,dinamica_servico_erlang2,distribuicoes_servico,5
33665.26387227272,0.7480350719680473,1.7635000652058526,2.511535137173887,0.7426051996755748,2.7537166574837513,1.6183855292218399,2.3746977136247946,3.7600548682301045,2.6276404443607286,3.38200963696554,8.780346505263424,0.0,0.0,0.0,0.44695286700690484,16654,8346,dinamica_servico_erlang2,distribuicoes_servico,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.420588896757741,2.114138230640326,2.9809943766225593,4.415282626221136,3.1131804140243093,3.9771512738611716,10.936158064367191,0.0,0.0,0.0,0.4862551241861587,16588,8412,dinamica_buffer_infinito,armazenamento,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.644860235304989,2.405746799752474,3.2318885095040475,4.637869247173468,3.4154014087530395,4.230445165984683,12.549458710040213,0.0,0.0,0.0,0.4860519527266183,16668,8332,dinamica_buffer_infinito,armazenamento,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.33496329920252,2.1820769182591317,2.9490691697731592,4.327388608599633,3.1625396610604772,3.937490368879343,11.534684065016336,0.0,0.0,0.0,0.46449828653880837,16632,8368,dinamica_buffer_infinito,armazenamento,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.7593602888733026,2.365371905887291,3.286296391223158,4.77122028985573,3.3824641190667983,4.299931995736805,12.82290797132464,0.0,0.0,0.0,0.5099903124243158,16516,8484,dinamica_buffer_infinito,armazenamento,3
